miejsce	kod_zawodnika	odl.1	odl.2	punkty	skocznia
2	sk11	134	134	309,2	s4
3	sk23	137,5	133	302,7	s4
4	sk7	133	138	301,7	s4
5	sk6	128,5	131	286,8	s4
6	sk5	129	132	285,8	s4
7	sk32	125	131,5	284,4	s4
8	sk31	134	130,5	284,3	s4
9	sk4	126	132,5	282,6	s4
10	sk21	126,5	129,5	282,5	s4
11	sk34	126,5	133	281,9	s4
12	sk2	121	129,5	279,8	s4
13	sk25	124,5	132	278,7	s4
14	sk18	122,5	133	274,3	s4
15	sk54	119	131	274,1	s4
16	sk8	119,5	132	272,5	s4
17	sk19	121	124,5	266,9	s4
18	sk48	130	123,5	263,8	s4
19	sk16	128	122	263,3	s4
20	sk37	120,5	122,5	263,2	s4
21	sk55	119	117,5	257	s4
22	sk47	118,5	127	256	s4
23	sk45	127	119	254,7	s4
24	sk22	121	120,5	252,4	s4
25	sk44	127,5	118	249,1	s4
26	sk43	125	117	248,2	s4
27	sk20	120	119,5	245,5	s4
28	sk17	122	119	240,7	s4
29	sk10	114	115	237,8	s4
30	sk56	118,5	110	222,9	s4
1	sk4	139	144	282,1	s5
2	sk1	137	136	274,9	s5
3	sk6	129,5	137	260,4	s5
4	sk11	135	132	260	s5
5	sk3	131	138	259,9	s5
6	sk10	130	136,5	257,7	s5
7	sk7	137,5	134	257,2	s5
8	sk25	133,5	132	257	s5
9	sk48	128,5	139	256,2	s5
10	sk32	133,5	133	253,7	s5
11	sk34	128,5	135,5	251,7	s5
12	sk23	138,5	135	250,7	s5
13	sk18	129,5	139	249,1	s5
14	sk2	132	133	246,6	s5
15	sk24	126	133,5	244,4	s5
16	sk5	127,5	127	238,9	s5
17	sk16	128,5	131	237,9	s5
18	sk13	124,5	127,5	237,5	s5
19	sk20	128	129,5	236,7	s5
20	sk49	128	129,5	236,3	s5
21	sk57	126,5	130	235,3	s5
22	sk14	130,5	126	232	s5
23	sk54	125,5	126	231,5	s5
24	sk43	126,5	130	231	s5
25	sk37	127,5	123	227	s5
26	sk45	127,5	123	226,7	s5
27	sk58	129	126	226,4	s5
28	sk9	132,5	124	226,1	s5
29	sk59	122	123,5	223,3	s5
30	sk12	121,5	122	211,9	s5
1	sk11	214,5	227,5	413,2	s6
2	sk19	220,5	223,5	407,9	s6
3	sk4	207	228,5	405,4	s6
4	sk6	217	220,5	400,4	s6
5	sk24	203,5	226	398,3	s6
6	sk46	216	211,5	391,1	s6
7	sk9	206	213	379,8	s6
8	sk48	203,5	216,5	378	s6
9	sk25	220,5	206	377,5	s6
10	sk7	210,5	206,5	374,8	s6
11	sk60	202	211,5	373,1	s6
12	sk61	203	205,5	368,8	s6
13	sk15	207,5	201,5	368,5	s6
14	sk8	200,5	202	363,2	s6
15	sk13	196,5	211,5	361	s6
16	sk62	203	197	360,2	s6
17	sk63	199,5	199,5	353,1	s6
18	sk40	202,5	194	352,7	s6
19	sk12	204,5	194	350,4	s6
20	sk37	204	205	349,8	s6
21	sk28	212,5	192,5	346,9	s6
22	sk22	196	193,5	346,3	s6
23	sk2	192,5	198,5	344,3	s6
24	sk16	201	190,5	343,4	s6
25	sk64	200	190	341,8	s6
26	sk65	189	190,5	327	s6
27	sk66	204	188	326,6	s6
28	sk67	203,5	188,5	324,8	s6
29	sk34	224	176	321,6	s6
30	sk3	200	173,5	318	s6
1	sk11	127,5	130	261,6	s7
2	sk23	127,5	123,5	249,6	s7
3	sk4	126	127	248,3	s7
4	sk6	126,5	124,5	246,2	s7
5	sk12	126,5	130	245,6	s7
6	sk7	120,5	128,5	245	s7
7	sk25	132	123	244,3	s7
8	sk9	121	127	243,5	s7
9	sk8	127,5	123	242,5	s7
10	sk20	124,5	126,5	240,6	s7
11	sk18	122,5	128	239,4	s7
12	sk13	123	127,5	238,2	s7
13	sk34	130	124,5	235,4	s7
14	sk24	121	128	235,2	s7
15	sk1	116,5	127,5	234,3	s7
16	sk3	117	128,5	234,2	s7
17	sk2	123	122	233,8	s7
18	sk32	126,5	120	233,3	s7
19	sk44	128	126,5	232,9	s7
20	sk45	123	122	231,8	s7
21	sk68	128	125	231,7	s7
22	sk10	123,5	123	231	s7
23	sk59	125,5	122	228,4	s7
24	sk50	130,5	117	226,7	s7
25	sk48	123	122	226,5	s7
26	sk49	125	122	224,2	s7
27	sk37	127	122,5	224,1	s7
28	sk43	125	121,5	223	s7
29	sk54	123	121,5	222,8	s7
30	sk62	126	116,5	221	s7
1	sk11	139	140	300,7	s8
2	sk21	137	140,5	280,4	s8
3	sk3	138	133,5	277,3	s8
4	sk9	132	137	275,9	s8
5	sk13	130,5	139	274,8	s8
6	sk8	133,5	137,5	274,6	s8
7	sk6	134	136,5	273,9	s8
8	sk32	135	133	272,2	s8
9	sk12	133	135	270,5	s8
10	sk2	134	132,5	268,9	s8
11	sk24	131,5	136	268,5	s8
12	sk1	133	134	268,1	s8
13	sk18	132,5	133,5	268	s8
14	sk25	130,5	135	265,8	s8
15	sk4	132	131,5	263,1	s8
16	sk45	131,5	134	262,7	s8
17	sk16	130	133	261,9	s8
18	sk17	132	131,5	260,4	s8
19	sk37	128	128,5	247,3	s8
20	sk39	125	131	244,8	s8
21	sk49	125,5	130,5	244,4	s8
22	sk10	128,5	125	241,8	s8
23	sk19	125	127	237,2	s8
24	sk42	127	123	233,3	s8
25	sk44	126	123	231,9	s8
26	sk48	124	122,5	229,2	s8
27	sk26	125	122,5	228,4	s8
28	sk36	125,5	122	228,1	s8
29	sk5	122	125	226	s8
30	sk69	124	119	219,5	s8
1	sk11	139	144	281,6	s9
2	sk1	137,5	138,5	277,6	s9
3	sk6	143	139,5	270,8	s9
4	sk7	138	139,5	268,7	s9
5	sk32	143,5	134	265,2	s9
6	sk13	133	137	263,3	s9
7	sk4	143	128	262,3	s9
8	sk21	131,5	135,5	259,2	s9
9	sk9	133,5	135,5	255,7	s9
10	sk25	130,5	135	252,4	s9
11	sk46	135	133	252	s9
12	sk23	130,5	134,5	247,7	s9
13	sk48	126	144	246,4	s9
14	sk34	130,5	131	243,9	s9
15	sk8	128	128	238,5	s9
16	sk2	130,5	127	237,3	s9
17	sk5	120,5	136	235,3	s9
18	sk12	127,5	129,5	230,5	s9
19	sk10	128,5	128	229,4	s9
20	sk68	137,5	122	228	s9
21	sk18	122	129	227,9	s9
22	sk37	142,5	119,5	227,7	s9
23	sk39	129	127	227,4	s9
24	sk33	135	124,5	224,7	s9
25	sk3	129,5	121,5	224,2	s9
26	sk17	127	127	221,5	s9
27	sk54	123	127	219,9	s9
28	sk38	131	121,5	215,3	s9
29	sk43	130	119,5	213,7	s9
30	sk70	132	113,5	207,2	s9
1	sk21	135	145,5	296,5	s10
2	sk23	133,5	143,5	294,2	s10
3	sk13	132	141	292,9	s10
4	sk2	132,5	139	288,9	s10
5	sk32	134	136,5	284,7	s10
6	sk25	132	136,5	282,4	s10
7	sk12	133	135	279,8	s10
8	sk7	129,5	134,5	279,1	s10
9	sk62	131	134,5	279	s10
10	sk24	132	134	278,3	s10
11	sk11	128	134	276,7	s10
12	sk55	126,5	140	274,3	s10
13	sk5	126,5	134,5	273,9	s10
14	sk8	126	138,5	273,1	s10
15	sk4	125	134,5	272,7	s10
16	sk39	132	131	271,4	s10
17	sk34	130,5	131	271,2	s10
18	sk16	129	132,5	269,9	s10
19	sk37	127,5	135,5	268,7	s10
20	sk10	129	131,5	267	s10
21	sk45	128,5	135,5	266,9	s10
22	sk26	128	135,5	266,3	s10
23	sk1	131	127,5	266	s10
24	sk59	129	127,5	261,8	s10
25	sk3	126	129,5	260,3	s10
26	sk54	126	132	257,6	s10
27	sk14	125,5	131	256	s10
28	sk38	125	124	244,9	s10
29	sk57	122,5	125,5	244,8	s10
30	sk71	125,5	116	224,8	s10
1	sk13	128,5	126,5	265,9	s11
2	sk7	129,5	128,5	264,2	s11
3	sk3	130,5	126	264	s11
4	sk1	132,5	137,5	263,5	s11
5	sk9	125,5	124	257,8	s11
6	sk24	126,5	123,5	257,6	s11
7	sk23	125	127,5	255,4	s11
8	sk8	127	122,5	254,3	s11
9	sk25	119,5	129	252,7	s11
10	sk5	122	125,5	251,5	s11
11	sk6	124	125	251,2	s11
12	sk18	125	123	250,8	s11
13	sk48	124	123	249,5	s11
14	sk10	123	125	248,6	s11
15	sk32	121,5	125,5	248	s11
16	sk11	125	121,5	247,4	s11
17	sk2	124	122	247	s11
18	sk12	119	128	244,7	s11
19	sk72	122,5	121,5	244,1	s11
20	sk45	120	125	243,4	s11
21	sk31	122	124	240,5	s11
22	sk46	121,5	123	239,9	s11
23	sk4	123,5	119	239,7	s11
24	sk68	121	120	238,7	s11
25	sk54	121,5	120	235,8	s11
26	sk20	118	122	232	s11
27	sk39	119,5	119	231,7	s11
28	sk34	120,5	114	222	s11
29	sk44	120	114	219,7	s11
30	sk62	117	97	178,7	s11
1	sk1	147,5	145,5	285,5	s12
2	sk24	145	140,5	276,6	s12
3	sk11	142,5	135,5	272,2	s12
4	sk31	144,5	136,5	268,4	s12
5	sk4	138,5	140	260,7	s12
6	sk21	132,5	137,5	256,8	s12
7	sk25	138	134,5	254,8	s12
8	sk7	137,5	139,5	252,8	s12
9	sk6	130,5	141	251,1	s12
10	sk23	137	135	248,2	s12
11	sk3	125,5	142	247,3	s12
12	sk28	137	132,5	244,7	s12
13	sk13	132	139,5	244,5	s12
14	sk10	133,5	132,5	241,3	s12
15	sk2	125	142,5	237,8	s12
16	sk45	133	125	231,1	s12
17	sk46	127	138	227,9	s12
18	sk26	130	129	227,8	s12
19	sk20	128	134	226	s12
20	sk32	127	132,5	224,6	s12
21	sk8	128	128	224	s12
22	sk49	133	125,5	223,5	s12
23	sk9	123	129	222,4	s12
24	sk5	125,5	130,5	219,8	s12
25	sk70	138,5	117	216,5	s12
26	sk52	129,5	128,5	215,4	s12
27	sk12	124,5	127	212,7	s12
28	sk35	126	125	210,3	s12
29	sk22	131,5	116	201,4	s12
30	sk54	123,5	118	199,4	s12
1	sk1	140,5	141,5	284,2	s13
2	sk11	138,5	134	271,6	s13
3	sk31	137,5	142,5	270,8	s13
4	sk6	137,5	131	262,9	s13
5	sk23	139,5	131	261	s13
6	sk4	138,5	131,5	259,7	s13
7	sk5	126,5	137,5	251,6	s13
8	sk13	132	135	251,4	s13
9	sk7	135	134,5	251	s13
10	sk12	127	137	245,6	s13
11	sk25	133	128	244,4	s13
12	sk48	126	136	242,4	s13
13	sk24	133,5	129,5	241,7	s13
14	sk46	126,5	136	240,1	s13
15	sk45	128	134	238,2	s13
16	sk10	129	127,5	233,4	s13
17	sk49	130	126	231,3	s13
18	sk43	126	131,5	230,6	s13
19	sk9	125,5	127	229,6	s13
20	sk28	130	127	229,2	s13
21	sk32	123,5	127	224,8	s13
22	sk62	126	127,5	224,1	s13
23	sk37	126,5	130	223,8	s13
24	sk8	127	123,5	219,7	s13
25	sk17	128,5	122	219,5	s13
26	sk52	126	122,5	219,4	s13
27	sk57	127	124	218,6	s13
28	sk34	128	123,5	218,1	s13
29	sk26	125	119	209,7	s13
30	sk14	127	121	209,3	s13
1	sk25	94	98,5	257,9	s14
2	sk11	92,5	97,5	256,3	s14
3	sk3	94,5	96,5	255,7	s14
4	sk4	95,5	95	255,6	s14
5	sk6	93	96	253,4	s14
6	sk24	92,5	96,5	253,3	s14
7	sk5	93,5	96	252,7	s14
8	sk41	96	93	249,5	s14
9	sk69	93	93,5	246,3	s14
10	sk20	94,5	92,5	245,6	s14
11	sk13	92	96	243,1	s14
12	sk17	94	90,5	241,6	s14
13	sk21	91	94	240,8	s14
14	sk39	92,5	94	237,9	s14
15	sk26	92	89	237,2	s14
16	sk14	93	89,5	236,7	s14
17	sk59	92,5	90	235,6	s14
18	sk73	91	93	234,5	s14
19	sk46	93,5	85,5	233,9	s14
20	sk19	91	92,5	233,8	s14
21	sk70	91	90	230,7	s14
22	sk32	90,5	90	230,3	s14
23	sk74	92	87,5	230	s14
24	sk30	90	89	224,2	s14
25	sk55	91	88	223,5	s14
26	sk52	90	87	223,4	s14
27	sk27	90,5	86,5	222,1	s14
28	sk75	89	86	220,9	s14
29	sk1	94	0	126,1	s14
30	sk7	92	0	117,1	s14
1	sk25	135	136	315	s15
2	sk4	122	131,5	288,5	s15
3	sk11	121,5	133,5	282,9	s15
4	sk9	121,5	129,5	281,6	s15
5	sk63	119,5	127,5	275,1	s15
6	sk64	120	129,5	271,9	s15
7	sk6	121,5	127	270	s15
8	sk41	114,5	132,5	269,7	s15
9	sk76	118,5	130,5	269,3	s15
10	sk40	120,5	128,5	268,4	s15
11	sk48	115	130	267,4	s15
12	sk15	114	130	266,3	s15
13	sk13	115	128	266	s15
14	sk77	115	130	265,3	s15
15	sk28	117,5	129,5	265,2	s15
16	sk12	118	125	264,9	s15
17	sk58	119,5	129	264,4	s15
18	sk23	117,5	127	261,1	s15
19	sk3	116	127	260,1	s15
20	sk61	116	126	257,6	s15
21	sk16	119,5	123,5	256,3	s15
22	sk10	125	120,5	256	s15
23	sk37	116,5	124,5	255,5	s15
24	sk2	115	125,5	255,1	s15
25	sk1	115	125	252,5	s15
26	sk78	115,5	123	251,5	s15
27	sk79	117,5	123,5	250,8	s15
28	sk70	116,5	124	250,2	s15
29	sk80	116,5	125	248,4	s15
30	sk42	116,5	123,5	247,6	s15
1	sk9	132	137	270,1	s16
2	sk11	133	148,5	260,3	s16
3	sk13	141	127	256,7	s16
4	sk64	134	137	252,7	s16
5	sk25	131	123,5	250,5	s16
6	sk15	140	127	247,9	s16
7	sk1	135,5	130	236,9	s16
8	sk2	137	125	233,9	s16
9	sk63	131,5	126	232,8	s16
10	sk7	133	130	232,6	s16
11	sk6	127,5	123,5	226	s16
12	sk40	129	122	225,5	s16
13	sk78	132	126	223,5	s16
14	sk76	127,5	122	220	s16
15	sk4	114,5	129	219,4	s16
16	sk23	129	121,5	218,7	s16
17	sk57	131	120	217,9	s16
18	sk22	129,5	122,5	215,5	s16
19	sk16	125,5	123	213,4	s16
20	sk12	129	123	211,5	s16
21	sk81	132	118	209,1	s16
22	sk82	127,5	122	207,9	s16
23	sk41	132	113	199	s16
24	sk62	125,5	120,5	198,7	s16
25	sk26	118,5	121	197,6	s16
26	sk45	124	117	197,1	s16
27	sk80	122,5	116,5	187,4	s16
28	sk83	121,5	113,5	184,2	s16
29	sk84	128	112	182,1	s16
30	sk85	122,5	109	177,3	s16
1	sk13	127	129,5	262	s17
2	sk9	134	126	258,3	s17
3	sk18	125,5	129	252,8	s17
4	sk10	127	130,5	250,2	s17
5	sk25	127	126	250,1	s17
6	sk62	129	123,5	245,7	s17
7	sk64	127,5	130	244,8	s17
8	sk12	130	126	244,4	s17
9	sk48	121	130	241,4	s17
10	sk7	120	132,5	237,8	s17
11	sk16	125	125,5	233,3	s17
12	sk28	119	125	232,6	s17
13	sk11	125,5	117	232	s17
14	sk15	124,5	120	230,8	s17
15	sk2	132	116,5	230,7	s17
16	sk85	125,5	120,5	229,6	s17
17	sk3	119	124	229,5	s17
18	sk37	127	120	229,2	s17
19	sk46	124	124	228,9	s17
20	sk76	119	126	226,3	s17
21	sk17	122,5	123,5	224,9	s17
22	sk19	121	123	220,2	s17
23	sk8	118	125,5	218,2	s17
24	sk4	123	115	215,5	s17
25	sk81	116,5	122	212,6	s17
26	sk6	124	113,5	210,5	s17
27	sk41	120	119	210,2	s17
28	sk60	114	115	197,7	s17
29	sk86	117,5	112	195,5	s17
30	sk83	119,5	108	192,5	s17
1	sk9	139	141	285,7	s18
2	sk13	135	138,5	273,3	s18
3	sk25	130	137	261,7	s18
4	sk11	130	137	260,2	s18
5	sk48	124,5	138,5	254,1	s18
6	sk16	138	127,5	249,1	s18
7	sk62	135	132,5	247,9	s18
8	sk4	133	126,5	243,5	s18
9	sk10	138,5	130,5	243,1	s18
10	sk76	133	128	242,4	s18
11	sk19	131	128,5	242,3	s18
12	sk28	133,5	134	241,2	s18
13	sk21	130,5	134,5	237,8	s18
14	sk78	127,5	132	231,7	s18
15	sk7	122	129	230,3	s18
16	sk8	126,5	130	228	s18
17	sk41	129	126,5	226	s18
18	sk85	136	118,5	225,8	s18
19	sk2	137,5	117,5	224,7	s18
20	sk3	122,5	126,5	224,5	s18
21	sk46	124,5	129	224,2	s18
22	sk64	121,5	125,5	221,5	s18
23	sk63	132	121	219,7	s18
24	sk80	126	122,5	218,9	s18
25	sk37	120,5	127,5	216,7	s18
26	sk18	131,5	122	214,8	s18
27	sk12	131	118	209,1	s18
28	sk17	128,5	116	206,2	s18
29	sk54	129	103	180,6	s18
30	sk61	125,5	107	180	s18
1	sk25	141	141,5	298,4	s19
2	sk61	137	137	288	s19
3	sk9	136,5	135	280,5	s19
4	sk15	136	132,5	277,1	s19
5	sk48	134	132,5	275,6	s19
6	sk19	135,5	131,5	273,8	s19
7	sk58	132	132,5	273,4	s19
8	sk3	134,5	131,5	272,8	s19
9	sk7	135	132	272,7	s19
10	sk13	135	132	270,6	s19
11	sk6	133,5	132,5	268,8	s19
12	sk18	131	130,5	265,4	s19
13	sk46	126,5	133,5	263,5	s19
14	sk76	129,5	130	262,2	s19
15	sk28	127	134,5	260,6	s19
16	sk22	129	128	257,4	s19
17	sk11	132	130,5	256,8	s19
18	sk4	126,5	134,5	256,5	s19
19	sk10	127	130,5	253	s19
20	sk16	132,5	124	250,8	s19
21	sk64	126,5	128	250,5	s19
22	sk12	128,5	130	250,1	s19
23	sk83	123,5	127,5	248,8	s19
24	sk17	127,5	123,5	244,8	s19
25	sk8	122,5	127	241,4	s19
26	sk41	126,5	125,5	241,1	s19
27	sk85	122	127	240,2	s19
28	sk52	123	126	239,6	s19
29	sk37	125	126	238,8	s19
30	sk21	123	124,5	237,3	s19
1	sk62	241	232,5	454,7	s20
2	sk25	237	239	454,6	s20
3	sk9	236,5	229,5	443,2	s20
4	sk46	230	225,5	438,8	s20
5	sk7	223	230	434,3	s20
6	sk13	237	224	431,6	s20
7	sk48	229,5	217,5	420,3	s20
8	sk28	224	215,5	416,3	s20
9	sk6	212	232	408,9	s20
10	sk4	214,5	225	405,3	s20
11	sk78	216,5	214	404,6	s20
12	sk11	207,5	225,5	397,8	s20
13	sk58	211,5	225	391,7	s20
14	sk19	215,5	221,5	391	s20
15	sk12	213	216,5	388,9	s20
16	sk18	201,5	220,5	383,4	s20
17	sk2	214,5	213	381,5	s20
18	sk37	202	217	380,8	s20
19	sk40	212	192	379,2	s20
20	sk17	206	215,5	375,8	s20
21	sk8	202	215,5	374,2	s20
22	sk3	204	210	371,9	s20
23	sk21	200,5	213	371,8	s20
24	sk54	188,5	212,5	370,2	s20
25	sk15	202,5	209,5	366,8	s20
26	sk87	201	204	364,9	s20
27	sk88	197	202	363,2	s20
28	sk1	194,5	201,5	358,5	s20
29	sk52	192,5	194	348,8	s20
30	sk49	199	192	343,3	s20
1	sk7	238,5	233	445	s21
2	sk25	242	220	438,1	s21
3	sk6	242	234	437,3	s21
4	sk15	240	228,5	422,5	s21
5	sk62	233,5	224	415,2	s21
6	sk28	234,5	238	411,6	s21
7	sk4	222	230	405,5	s21
8	sk48	230	221,5	405,4	s21
9	sk3	227	226	404,7	s21
10	sk18	225,5	226,5	401,5	s21
11	sk19	228	227	400	s21
12	sk46	235,5	214	395,6	s21
13	sk16	217	228	393,3	s21
14	sk9	214	213	388	s21
15	sk58	224	217	387,3	s21
16	sk2	230,5	218	386,4	s21
17	sk8	233	204,5	385,8	s21
18	sk11	211	209,5	378,1	s21
19	sk60	219,5	210	376,6	s21
20	sk85	206	212	371,6	s21
21	sk40	219	217,5	371	s21
22	sk10	218,5	213,5	368,8	s21
23	sk17	212	213,5	365,8	s21
24	sk12	216,5	206,5	362,9	s21
25	sk13	215	207	360,2	s21
26	sk78	213	211,5	359,7	s21
27	sk22	209,5	206,5	359,5	s21
28	sk52	205,5	203	358,8	s21
29	sk31	201,5	211	354,1	s21
30	sk88	200	0	168,5	s21
