lp	data wylotu	godzina wylotu	data przylotu	godzina przylotu	Cargo za³adunek	Cargo wy³adunek			
40	08-09-2021	14:11:36	08-09-2021	16:26:19	16	9			
41	08-09-2021	17:36:45	08-09-2021	18:32:23	12	24			
42	08-09-2021	20:00:00	08-09-2021	21:31:36	9	2			
43	09-09-2021	06:11:26	09-09-2021	07:45:56	9	4			
44	09-09-2021	09:55:26	09-09-2021	10:55:13	9	14			
45	09-09-2021	12:08:45	09-09-2021	14:11:09	12	10			
46	09-09-2021	16:26:09	09-09-2021	18:30:24	16	11			
47	09-09-2021	20:30:16	09-09-2021	21:21:36	13	21			
48	10-09-2021	05:11:32	10-09-2021	07:26:14	7	15			
49	10-09-2021	09:10:06	10-09-2021	10:39:64	7	0			
50	10-09-2021	11:59:56	10-09-2021	14:14:48	7	1			
51	10-09-2021	15:35:54	10-09-2021	16:54:12	13	20			
52	10-09-2021	19:01:35	10-09-2021	19:48:46	12	4			
53	10-09-2021	21:01:04	11-09-2021	00:54:18	11	9			
54	11-09-2021	06:15:56	11-09-2021	09:11:45	12	21			
55	11-09-2021	11:04:15	11-09-2021	12:09:07	14	2			
56	11-09-2021	13:36:55	11-09-2021	14:26:47	17	9			
57	11-09-2021	15:57:15	11-09-2021	17:15:48	3	9			
58	11-09-2021	19:01:02	11-09-2021	21:11:01	11	3			
59	12-09-2021	04:00:00	12-09-2021	05:35:06	8	4			
60	12-09-2021	08:14:16	12-09-2021	10:16:19	1	6			
61	12-09-2021	12:30:01	12-09-2021	14:15:25	4	21			
62	12-09-2021	17:45:09	12-09-2021	19:10:01	9	11			
63	13-09-2021	05:08:45	13-09-2021	09:08:14	12	7			
64	13-09-2021	11:06:45	13-09-2021	12:48:06	11	13			
65	13-09-2021	13:15:09	13-09-2021	14:55:39	16	21			
66	13-09-2021	16:04:45	13-09-2021	18:00:00	19	10			
67	13-09-2021	20:09:11	13-09-2021	22:04:19	3	0			
68	14-09-2021	04:15:22	14-09-2021	06:14:24	12	21			
69	14-09-2021	08:15:54	14-09-2021	10:04:55	17	20			
70	14-09-2021	12:00:00	14-09-2021	13:56:55	11	22			
71	14-09-2021	15:26:30	14-09-2021	17:00:15	7	2			
72	14-09-2021	18:36:45	14-09-2021	19:15:54	8	7			
73	14-09-2021	20:56:55	14-09-2021	22:04:06	6	1			
74	15-09-2021	01:01:00	15-09-2021	04:09:06	0	6			
75	15-09-2021	06:55:57	15-09-2021	08:15:54	0	5			
76	15-09-2021	10:10:55	15-09-2021	12:45:47	10	1			
77	15-09-2021	14:22:45	15-09-2021	15:12:24	14	21			
78	15-09-2021	17:20:54	15-09-2021	18:36:45	4	1			
79	15-09-2021	20:47:41	15-09-2021	21:45:48	7	2			
80	16-09-2021	03:15:26	16-09-2021	06:04:09	13	5			
81	16-09-2021	07:11:26	16-09-2021	09:03:04	13	11			
82	16-09-2021	11:04:06	16-09-2021	12:00:45	14	9			
83	16-09-2021	13:55:00	16-09-2021	14:45:10	14	9			
84	16-09-2021	16:11:12	16-09-2021	17:22:01	12	7			
85	16-09-2021	19:01:22	16-09-2021	20:45:56	2	19			
86	17-09-2021	06:56:22	17-09-2021	08:01:04	4	11			
87	17-09-2021	11:00:06	17-09-2021	11:30:09	21	15			
88	17-09-2021	13:15:09	17-09-2021	14:55:03	7	13			
89	17-09-2021	15:35:55	17-09-2021	17:13:53	14	16			
90	17-09-2021	19:12:43	17-09-2021	20:45:44	7	0			
91	18-09-2021	05:05:06	18-09-2021	06:24:06	17	15			
92	18-09-2021	09:14:16	18-09-2021	10:00:11	5	8			
93	18-09-2021	11:23:24	18-09-2021	13:26:23	14	9			
94	18-09-2021	14:55:20	18-09-2021	15:25:19	11	17			
95	18-09-2021	17:24:15	18-09-2021	18:45:12	7	16			
96	19-09-2021	09:06:04	19-09-2021	10:46:11	5	1			
97	19-09-2021	13:55:17	19-09-2021	15:01:03	14	7			
98	19-09-2021	16:15:07	19-09-2021	17:33:46	12	9			
99	19-09-2021	19:31:36	19-09-2021	20:22:01	11	9			
100	19-09-2021	22:55:59	20-09-2021	01:12:45	11	8			
101	20-09-2021	09:11:34	20-09-2021	10:44:21	12	3			
102	20-09-2021	11:24:12	20-09-2021	12:43:11	7	12			
103	20-09-2021	13:10:22	20-09-2021	14:14:21	9	14			
104	20-09-2021	15:11:02	20-09-2021	16:12:04	8	19			
105	20-09-2021	17:01:22	20-09-2021	17:30:01	23	14			
106	20-09-2021	17:55:09	20-09-2021	18:45:33	19	9			
107	20-09-2021	19:46:47	20-09-2021	22:02:04	0	6			
108	20-09-2021	23:26:01	21-09-2021	01:23:16	4	15			
109	21-09-2021	07:00:05	21-09-2021	08:04:26	11	0			
110	21-09-2021	10:16:33	21-09-2021	13:58:27	9	4			
111	21-09-2021	14:55:19	21-09-2021	16:03:25	9	28			
112	21-09-2021	17:04:22	21-09-2021	18:16:54	0	10			
113	21-09-2021	19:59:06	21-09-2021	22:30:00	12	6			
114	22-09-2021	07:09:33	22-09-2021	08:16:45	11	5			
115	22-09-2021	09:17:33	22-09-2021	11:04:33	13	9			
116	22-09-2021	14:33:24	22-09-2021	15:11:19	14	11			
117	22-09-2021	15:30:05	22-09-2021	16:48:06	2	0			
118	22-09-2021	18:20:15	22-09-2021	20:21:07	6	0			
119	22-09-2021	23:36:08	23-09-2021	01:01:24	4	11			
120	23-09-2021	07:08:04	23-09-2021	09:22:35	19	3			
121	23-09-2021	10:25:36	23-09-2021	12:15:21	3	21			
122	23-09-2021	13:05:04	23-09-2021	14:06:22	19	22			
123	23-09-2021	15:11:06	23-09-2021	17:56:55	13	14			
124	23-09-2021	18:56:45	23-09-2021	21:21:04	19	25			
125	24-09-2021	04:11:06	24-09-2021	07:12:21	19	11			
126	24-09-2021	10:56:55	24-09-2021	14:11:06	13	4			
127	24-09-2021	17:26:03	24-09-2021	18:48:43	13	9			
128	24-09-2021	19:40:23	24-09-2021	21:13:04	10	12			
129	25-09-2021	07:04:25	25-09-2021	08:26:41	9	11			
130	25-09-2021	10:11:21	25-09-2021	12:01:04	14	20			
131	25-09-2021	13:04:26	25-09-2021	13:49:04	1	3			
132	25-09-2021	15:08:09	25-09-2021	16:04:09	5	6			
133	25-09-2021	17:04:26	25-09-2021	18:09:04	12	6			
134	26-09-2021	06:26:25	26-09-2021	07:55:36	13	24			
135	26-09-2021	09:11:05	26-09-2021	10:09:21	9	2			
136	26-09-2021	10:55:04	26-09-2021	11:54:10	11	6			
137	26-09-2021	13:04:05	26-09-2021	14:06:01	11	9			
138	26-09-2021	16:08:45	26-09-2021	17:55:04	13	24			
139	26-09-2021	19:04:04	26-09-2021	20:30:04	15	6			
140	27-09-2021	06:04:05	27-09-2021	07:56:55	15	9			
141	27-09-2021	09:10:01	27-09-2021	10:11:08	10	19			
142	27-09-2021	13:05:06	27-09-2021	15:05:06	1	0			
143	27-09-2021	17:04:06	27-09-2021	19:02:04	3	0			
144	28-09-2021	10:04:06	28-09-2021	11:54:06	9	14			
145	28-09-2021	12:59:04	28-09-2021	15:04:56	11	13			
146	28-09-2021	17:06:04	28-09-2021	18:06:49	12	9			
147	28-09-2021	19:00:00	28-09-2021	21:01:01	14	9			
148	29-09-2021	07:11:03	29-09-2021	08:58:32	12	16			
149	29-09-2021	10:01:04	29-09-2021	12:01:02	9	21			
150	29-09-2021	13:21:10	29-09-2021	14:43:11	15	9			
151	29-09-2021	16:09:12	29-09-2021	17:34:12	14	8			
152	29-09-2021	19:11:01	29-09-2021	20:21:22	16	21			
153	29-09-2021	23:04:04	30-09-2021	00:57:04	14	9			
154	30-09-2021	07:30:00	30-09-2021	08:00:45	17	3			
155	30-09-2021	10:36:54	30-09-2021	12:01:04	0	9			
156	30-09-2021	14:10:15	30-09-2021	15:08:09	14	8			
157	30-09-2021	17:08:33	30-09-2021	18:56:55	6	39			
